codigo,titulo,endereco,bairro,modalidade,valor,area,quartos,tipo_imovel,numero_item
855550442030-8,MANAUS - VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRAÇA,N. 1302 Apto. 202 BL 87, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550584856-5,MANAUS - COND  RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL 87, , LAGO AZUL",LAGO AZUL,,"R$ 69.934,44","165,29 m²",2 quartos,Apartamento,11
855550585801-3,MANAUS - COND RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BL 84, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550604221-1,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 104 BL 76, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550665729-1,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 202 BL 54, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550678090-5,MANAUS - CONDOMINIO RESIDENCIAL VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 201 BL 74, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550708513-5,MANAUS - COND RES. VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 203 BL 66, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550724482-9,MANAUS - CONDOMINIO RESIDENCIAL VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BL-64, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550725677-0,MANAUS - COND  RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BL 86, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550726160-0,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL 88, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550726806-0,MANAUS - COND RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BL 97, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550749008-0,MANAUS - COND RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BL 56, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550805384-9,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRAÇA,N. 1302 Apto. 202 BL 53, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550805930-8,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 102 BL 46, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550812343-0,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 104 BL 90, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550832803-1,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL 37, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550860755-0,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 102 BL 16, LT 48-A, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550873313-0,MANAUS - VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 104 BL 41, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550894282-1,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 202 BL 40, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550920967-2,MANAUS - CONDOMINIO RESIDENCIAL VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 103 BLOCO 46, , LAGO AZUL",LAGO AZUL,,,"165,29 m²",,Apartamento,
855550977068-4,MANAUS - COM RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 102 BL 17, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855551010225-8,MANAUS - COND RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRAÇA,N. 1302 Apto. 201 BL 90, , LAGO AZUL",LAGO AZUL,Leilão,"R$ 126.000,00","165,29 m²",2 quartos,Apartamento,5
855551028385-6,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 104 BL 85, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855551038263-3,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BL 102, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855551053263-5,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BL 17, , LAGO AZUL",LAGO AZUL,Venda Direta,,,,,
855551053311-9,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL 78, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855551053330-5,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 104 BL 60, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855551293864-7,MANAUS - COND RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1303 Apto. 102 BL 38, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855551299054-1,MANAUS - COND  RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BL 20, , LAGO AZUL",LAGO AZUL,,"R$ 76.464,05","165,29 m²",2 quartos,Apartamento,11
855551300656-0,MANAUS - COND  RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 102 BL 18, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855551310140-6,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1303 Apto. 203 BL 20, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855551314000-2,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL 55, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855551326834-3,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 202 BL 25, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855551327624-9,MANAUS - COND RESID VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 102 BL37, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855551345351-5,MANAUS - CONDOMINIO RESIDENCIAL VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BL-67, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855551364183-4,MANAUS - VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 201 BL 22, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855551379247-6,MANAUS - COND RES VERONA PREMIUN,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL 71, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855551382230-8,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL 119, , LAGO AZUL",LAGO AZUL,Venda Direta,,,,,
855551455491-9,MANAUS - CONJ RES. VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 104 BL 30, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855551478939-8,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL 84, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855551793619-7,MANAUS - COND  RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL 69, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855551813837-5,MANAUS - VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 103 BL 91, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855551952607-7,MANAUS - COMD. RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 201 BLOCO 92, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855551961576-2,MANAUS - RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 201 BL 118, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855552076441-5,MANAUS - COND RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL 133, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855552085608-5,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL 30, , LAGO AZUL",LAGO AZUL,Venda Direta,,"165,29 m²",2 quartos,Apartamento,
855552111960-2,MANAUS - COND RES VERONA PREMIUN,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 103 BL 54, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855552142816-8,MANAUS - CONDOMINIO RESIDENCIAL VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BL 71, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855552149919-7,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 201 BL 11, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855552184004-2,MANAUS - CONDOMINIO RESIDENCIAL VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 201 BL 58, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855552207756-3,MANAUS - VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 103 BL 145, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855552213724-8,MANAUS - COND  RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 103 BL 103, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855552270180-1,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 104 BL 72, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855552286202-3,MANAUS - RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRAÇA,N. 1302 Apto. 203 BL127, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855552362161-5,MANAUS - COND RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 201 BL 114, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855552392542-8,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 102 BL 146, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855552430890-2,MANAUS - VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 103 BL 25 ANTIGO LOTE 48-A, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855552436413-6,MANAUS - CONDOMINIO RESIDENCIAL VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 203 BL 16, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855552445583-2,MANAUS - VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BL. 90, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855552467525-5,MANAUS - COND RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BL 57, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855552520791-3,MANAUS - CONDOMINIO RESIDENCIAL VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 202 BL 132, , LAGO AZUL",LAGO AZUL,Leilão,"R$ 133.000,00","165,29 m²",2 quartos,Apartamento,14
855552538813-6,MANAUS - COND  RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 104 BL 74, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855552546076-7,MANAUS - COND RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 103 BL 58, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855552556334-5,MANAUS - CONDOMINIO RESIDENCIAL VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BL 58, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855552567790-1,MANAUS - COND  RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 102 BL 79, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855552604202-0,MANAUS - CONDOMINIO RESIDENCIAL VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 102 BL 91, , LAGO AZUL",LAGO AZUL,,"R$ 66.495,04","165,29 m²",2 quartos,Apartamento,7
855552652048-8,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRAÇA,N. 1302 Apto. 203 BL 04, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855552677412-9,MANAUS - COND  RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRAÇA,N. 1302 Apto. 104 BL 89, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855552736726-8,MANAUS - VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 202 BL 06, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
000001017122-2,MANAUS - PARQUE 10 DE NOVEMBRO,"AVENIDA DARCY VARGAS,N. 755 Apto. 1202 EDIFICIO REMBRANDT",,Venda Direta,,,4 quartos,,
132050000027-0,MANAUS - RESIDENCIAL VILLA LOBOS,"RUA DOM DIOGO DE SOUZA,N. 320 Apto. 202 BL08, , PARQUE 10 DE NOVEMBRO",PARQUE 10 DE NOVEMBRO,Leilão,"R$ 313.000,00","97,08 m²",2 quartos,Apartamento,5
178770136563-9,MANAUS - RESIDENCIAL CONQUISTA MARINAS,"AVENIDA FREDERICO BAIRD,N. 2880 Apto. 105 BLOCO 04, , PONTA NEGRA",PONTA NEGRA,Leilão,"R$ 235.000,00","41,51 m²",2 quartos,Apartamento,5
844440240652-5,MANAUS - CONJ RES COUTINHO VI,"RUA BOA SORTE,N. 217 Apto. 104, , PRESIDENTE VARGAS",PRESIDENTE VARGAS,Leilão,"R$ 96.000,00","49,72 m²",2 quartos,Apartamento,14
844440675584-2,MANAUS - SAO JOSE OPERARIO,"RUA CASTANHO,N. 2 ETAPA I",,Venda Direta,,,,Casa,
878770425035-0,MANAUS - CONQUISTA PREMIUM ALEIXO,"RUA JOSE ROMAO,N. 207 Apto. 502 BL 22, , SAO JOSE OPERARIO",SAO JOSE OPERARIO,,"R$ 134.784,21","95,55 m²",2 quartos,Apartamento,4
878770485056-0,MANAUS - CONQUISTA PREMIUM ALEIXOImóvel em disputa,"RUA JOSE ROMAO,N. 207 Apto. 504 BLOCO 20, , SAO JOSE OPERARIO",SAO JOSE OPERARIO,,,"95,52 m²",2 quartos,Apartamento,
878770531123-0,MANAUS - CONQUISTA PREMIUM ALEIXO,"RUA JOSE ROMAO,N. 207 Apto. 102 BL 06, , SAO JOSE OPERARIO",SAO JOSE OPERARIO,,"R$ 133.437,74","95,52 m²",2 quartos,Apartamento,5
155551982219-0,MANAUS - LOTE DE TERRAS,"RUA DOM BÔSCO,N. 35 LTE 35 - QD 48, , TANCREDO NEVES",TANCREDO NEVES,Leilão,"R$ 246.264,81",,,,6
144441080777-2,MANAUS - RESIDENCIAL JARDIM PARADISO ALAMANDA,"RUA PRAIA CANOA QUEBRADA,N. 420 Apto. 202 BLOCO 9, , TARUMA",TARUMA,,"R$ 111.786,40","148,5 m²",2 quartos,Apartamento,6
000001021199-6,MANAUS - TARUMA,"AV DONA OTILIA,N. 606 Apto. 104 BL 18",,,,,2 quartos,,
178770115621-5,MANAUS - RESIDENCIAL VIVER TARUMA,"AVENIDA DO TURISMO,N. 13830 Apto. 404 BL 24, , TARUMA",TARUMA,Leilão,"R$ 179.000,00","76,06 m²",2 quartos,Apartamento,8
178770202687-0,MANAUS - RESIDENCIAL VIVER TARUMA,"AVENIDA DO TURISMO,N. 13830 Apto. 402 BL 20, , TARUMA",TARUMA,Leilão,"R$ 190.708,63","76,06 m²",2 quartos,Apartamento,14
878770363181-4,MANAUS - CONQUISTA TARUMÃ,"AVENIDA DO TURISMO,N. 14244 Apto. 201 BL 23, , TARUMA",TARUMA,,"R$ 90.161,30","112,48 m²",2 quartos,Apartamento,12
878770379921-9,MANAUS - CONQUISTA TARUMÃ,"AVENIDA DO TURISMO,N. 14244 Apto. 104 BL 15, , TARUMA",TARUMA,,"R$ 79.939,69","125,01 m²",2 quartos,Apartamento,12
878770392458-7,MANAUS - CONQUISTA TARUMÃ,"AVENIDA DO TURISMO,N. 14244 Apto. 502 BL 22, , TARUMA",TARUMA,Venda Direta,,,2 quartos,,
878770521392-0,MANAUS - CONQUISTA TARUMÃ,"AVENIDA DO TURISMO,N. 14244 Apto. 504 BLOCO 20, , TARUMA",TARUMA,,,"112,51 m²",,Apartamento,
878770524132-0,MANAUS - CONQUISTA TARUMÃ,"AVENIDA DO TURISMO,N. 14244 Apto. 504 BL 23 LT 02, , TARUMA",TARUMA,Venda Direta,,,2 quartos,,
878770533905-3,MANAUS - VIVA VIDA TARUMA,"AVENIDA DO TURISMO,N. 14164 Apto. 302 BL 15, , TARUMA",TARUMA,Venda Direta,,"123,98 m²",2 quartos,Apartamento,
878770672173-3,MANAUS - VIVA VIDA TARUMA,"AVENIDA DO TURISMO,N. 14164 Apto. 303 BL 23, , TARUMA",TARUMA,Leilão,"R$ 142.965,84","123,98 m²",2 quartos,Apartamento,15
878770674793-7,MANAUS - VIVA VIDA TARUMA,"AVENIDA DO TURISMO,N. 14164 Apto. 504 BL16 5PAV, , TARUMA",TARUMA,Venda Direta,,,2 quartos,,
878770830202-9,MANAUS - VIVA VIDA TARUMA,"AVENIDA DO TURISMO,N. 14164 Apto. 403 BL. 23, , TARUMA",TARUMA,Leilão,"R$ 148.000,00","123,98 m²",2 quartos,Apartamento,5
878771089002-1,MANAUS - RESIDENCIAL VIVER TARUMA,"AVENIDA DO TURISMO,N. 13830 Apto. 304 BL 15, , TARUMA",TARUMA,,"R$ 92.444,76","76,06 m²",2 quartos,Apartamento,6
878771099719-5,MANAUS - RESIDENCIAL VIVER TARUMA,"AVENIDA DO TURISMO,N. 13830 Apto. 301 BLOCO 25, , TARUMA",TARUMA,,"R$ 94.815,14","76,06 m²",2 quartos,Apartamento,7
878771317929-9,MANAUS - RESIDENCIAL VIVER TARUMA,"AVENIDA DO TURISMO,N. 14012 Apto. 404 BL 17, , TARUMA",TARUMA,Leilão,"R$ 157.000,00","76,06 m²",2 quartos,Apartamento,6
878771372334-7,MANAUS - RESIDENCIAL VIVER TARUMA,"AVENIDA DO TURISMO,N. 13830 Apto. 303 BL 23, , TARUMA",TARUMA,Leilão,"R$ 185.000,00","76,06 m²",2 quartos,Apartamento,10
878771396789-0,MANAUS - RESIDENCIAL VIVER TARUMA,"AVENIDA DO TURISMO,N. 13830 Apto. 103 BL 15, , TARUMA",TARUMA,Leilão,"R$ 170.270,00","76,06 m²",2 quartos,Apartamento,11
878771526827-2,MANAUS - RESIDENCIAL VIVER TARUMA,"AVENIDA DO TURISMO,N. 13830 Apto. 504 BL 20, , TARUMA",TARUMA,Leilão,"R$ 170.442,40","76,06 m²",2 quartos,Apartamento,12
878771530923-8,MANAUS - RESIDENCIAL VIVER TARUMA,"AVENIDA DO TURISMO,N. 0 Apto. 304 BL 14, , TARUMA",TARUMA,Leilão,"R$ 174.667,54","76,06 m²",2 quartos,Apartamento,8
855550577654-8,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 203 BLOCO 90, , TARUMA",TARUMA,Venda Direta,,,2 quartos,,
